,dataset,r2_test,mse_test,symbolic_model
136,nikuradse_1,0.9891177217307964,0.00030658215955185395,"Mul(Atan(0.67*Sub(Sub(-0.56,Exp(-1.22*log_Re)),Div(Sinh(3.05*r_k),Sub(1.29,-0.63*log_Re)))),Add(Logistic(Add(Sub(2.88,-2.91*log_Re),-0.22*r_k)),If(r_k>-0.72,0.07,Atan(0.80))))"
145,nikuradse_1,0.9941129116643149,0.00014294913632740817,"Sub(0.66*Sub(1.38*Log1p(0.24*Exp(-2.34*Log1p(r_k))),Tanh(Add(0.66*log_Re,1.36))),Logistic(1.01*Mul(Add(Log1p(1.16*r_k),-0.55*log_Re),Add(2.49*log_Re,If(r_k>-0.75,1.96,3.10)))))"
157,nikuradse_1,0.9761200192446993,0.0006448645099179461,"If(r_k>-0.71,Sub(0.77*Exp(-1.33*Sinh(Sub(r_k,0.13*log_Re))),Log(Add(4.29,log_Re))),1.48)"
158,nikuradse_1,0.987708932422125,0.00027804006265976075,"Mul(Log1p(0.01*Sub(0.34*Add(4.77*Ceil(5.70*r_k),Tanh(2.69*log_Re)),Atan(Add(4.75,3.02*log_Re)))),Add(20.88*Logabs(Sinh(-1.02*Logabs(0.84*r_k))),-2.47*Tanh(If(r_k>-0.73,Add(1.97,3.21*log_Re),Pow(1020.90,0.14*log_Re)))))"
1548,678_visualizing_environmental,-0.130632313765769,16.916221409152605,"Sub(Add(Div(0.04*ozone,Sub(temperature,Sub(0.55,0.09))),-0.54*ozone),-0.14*Tan(Mul(Div(Cos(1.66*temperature),0.84),Add(radiation,If(temperature>-2.07,0.40,-17.22)))))"
1817,611_fri_c3_100_5,0.9507054963314888,0.058920409271614994,"Add(0.88*Add(If(oz3>2.52,0.10*oz1,0.08*Mul(Add(-1.37*oz2,-0.34),Ceil(oz2))),Abs(Sub(Sqrtabs(oz3),Sub(0.56,-0.05*oz5)))),0.71*Add(Sin(Sub(Mul(oz2,-1.03*oz1),1.84)),1.01*Sub(1.52*Sin(1.07*Sub(-1.53*oz2,oz1)),2.84*Log1p(-0.19*oz4))))"
1871,611_fri_c3_100_5,0.8979153980001428,0.048225173039152344,"Add(Mul(Sin(Add(1.48*oz2,Add(oz1,0.49))),Sub(-2.12*Sub(Logistic(oz2),Square(0.25*oz5)),0.13)),Add(0.46*Atan(oz4),If(oz5>2.80,1.48,Add(Cosh(0.51*oz3),-1.09))))"
1883,611_fri_c3_100_5,0.9630470933880391,0.03416103666046676,"Mul(Add(2.64*Sin(Sub(-1.44*oz2,Sub(oz1,-0.35))),Add(oz4,If(oz3>2.47,1.29,0.09))),0.81*Logistic(0.81*oz2))"
2068,561_cpu,0.8892026520332604,3154.043057820881,"Add(Sub(Add(Atan(Sub(0.02*vendor,0.07*MMAX)),-1.24),-0.09*CACH),Mul(Div(Atan(Exp(0.19*MMIN)),Add(If(MMIN>5.25,0.11,-0.02*CHMIN),Logistic(0.04*vendor))),0.25*Exp(Add(0.34*MMAX,Exp(0.06*CACH)))))"
2166,644_fri_c4_250_25,0.9473330514823244,0.03759526106635738,"0.06*Sub(20.19*Sin(Mul(Add(Add(-2.12*oz2,-1.41*oz1),1.14),Log1p(Exp(0.30*oz1)))),Sub(Add(9.71*Tanh(Sub(oz3,-0.76)),Add(If(oz5>3.17,-4.90*oz4,-6.59*oz4),-4.39*oz5)),Square(oz5)))"
2692,1089_USCrime,0.777968726791897,451.4759239272098,"0.84*Sub(If(Ed>-1.67,0.32*NW,0.95),W)"
2764,582_fri_c1_500_25,0.9604342005715072,0.036617394663492016,"Add(32.93*Sub(Sin(Sub(Add(-1.46*oz1,-1.87*oz2),-3.12)),If(oz17>-1.75,Add(-0.01*oz5,-0.00*oz3),0.02)),Sub(33.70*Sin(Add(-1.45*oz1,-1.86*oz2)),-0.40*Add(Sub(Sub(oz4,oz1),1.42*Cos(oz3)),Exp(-0.12))))"
2874,1096_FacultySalaries,0.1869754755079649,32.973906347044526,"Add(1.00*Add(Sub(5.98*average_salary,If(average_salary>1.46,0.88*Log1p(2.09),If(average_salary>1.23,0.80*average_salary,1.00))),-3.49*full_prof_salary),Sub(-1.73*assoc_prof_salary,Sub(Div(-0.00*assoc_prof_salary,Add(full_prof_salary,0.57)),Exp(Div(-0.00*CIC_institutions,2.31*average_salary)))))"
3341,659_sleuth_ex1714,-0.3348147160218713,13674587.027817348,"If(race>1.84,-1.96,1.15*Asin(Sin(0.58*Sinh(Add(vol,0.23*zip)))))"
5089,228_elusage,0.7026666432978024,241.28506986062712,"If(average_temperature>-1.93,If(average_temperature>-0.09,-0.83,Exp(Sub(-1.17,average_temperature))),3.34)"
5549,523_analcatdata_neavote,0.9742366782705153,0.43513219868230407,"Add(1.20,Add(-0.02*Exp(Sinh(Bills)),If(Party>-0.19,-2.04,0.08*Bills)))"
6429,1028_SWD,0.3830707495499144,0.3970556655896751,"0.03*Add(15.92*Atan(Add(Add(2.80*In3,Ceil(In10)),In5)),Sub(8.94*Add(0.00*Sub(40780.96,Exp(-7.75*In2)),Tanh(If(In3>0.23,In4,244.33*In7))),Sub(-4.75*In9,Sub(Log1p(0.70*In8),-2.41*In6))))"
6502,1028_SWD,0.34984396868331213,0.3992582182074527,"0.42*Sub(Tanh(Add(-1.15*Sub(-2.76*Ceil(In5),In10),Add(2.53*In3,In6))),Sub(If(In3>-0.67,0.00*Tan(If(In10>0.45,-1.28*In4,-7465.79*In8)),Sub(1.20,0.36*In1)),Log1p(Add(Logistic(In4),0.50*In2))))"
